model,k,C,n_blocks,n_combos,auc_mean,auc_std,acc_mean,acc_std,p_high_low_mean,p_high_moderate_mean,p_high_high_mean
svm_lin,20,1.0,4,15,0.6318,0.0149,0.5619,0.0486,0.5766,0.687,0.7388
svm_lin,20,1.0,5,6,0.6271,0.0511,0.5738,0.0407,0.6828,0.8098,0.8725
svm_lin,20,1.0,6,1,0.5311,0.0,0.5279,0.0,0.8537,0.8845,0.9023
svm_lin,30,0.01,1,6,0.5421,0.0735,0.5182,0.0407,0.4439,0.4711,0.4921
svm_lin,30,0.01,2,15,0.5945,0.0678,0.5354,0.0449,0.4518,0.5264,0.5557
svm_lin,30,0.01,3,20,0.6294,0.0388,0.5488,0.0517,0.5247,0.6175,0.6572
svm_lin,30,0.01,4,15,0.6479,0.0244,0.5546,0.0429,0.5818,0.6807,0.7327
svm_lin,30,0.01,5,6,0.6625,0.017,0.572,0.025,0.7196,0.8366,0.9092
svm_lin,30,0.01,6,1,0.6658,0.0,0.5607,0.0,0.7826,0.9008,0.9648
svm_lin,30,0.1,1,6,0.5523,0.0597,0.5194,0.0434,0.4043,0.4295,0.4481
svm_lin,30,0.1,2,15,0.5882,0.0695,0.5239,0.042,0.5094,0.5681,0.5849
svm_lin,30,0.1,3,20,0.6278,0.0513,0.5456,0.0505,0.5344,0.6388,0.6768
svm_lin,30,0.1,4,15,0.6603,0.0306,0.5571,0.0518,0.6034,0.7104,0.7654
svm_lin,30,0.1,5,6,0.6813,0.0195,0.5945,0.0308,0.688,0.8339,0.9336
svm_lin,30,0.1,6,1,0.6894,0.0,0.5813,0.0,0.7256,0.8825,0.9706
svm_lin,30,1.0,1,6,0.5677,0.0593,0.503,0.0063,0.2573,0.2856,0.2811
svm_lin,30,1.0,2,15,0.5793,0.0723,0.5339,0.0537,0.5054,0.5711,0.5995
svm_lin,30,1.0,3,20,0.6254,0.0582,0.5498,0.0506,0.4992,0.6133,0.6504
svm_lin,30,1.0,4,15,0.6723,0.0315,0.5686,0.0543,0.5825,0.7081,0.7792
svm_lin,30,1.0,5,6,0.6892,0.0229,0.6058,0.025,0.5994,0.7723,0.8843
svm_lin,30,1.0,6,1,0.7049,0.0,0.5947,0.0,0.6613,0.8395,0.9466
svm_lin,40,0.01,1,6,0.5312,0.0626,0.5198,0.0443,0.4329,0.4634,0.4833
svm_lin,40,0.01,2,15,0.6163,0.0615,0.5286,0.0432,0.4858,0.5501,0.5785
svm_lin,40,0.01,3,20,0.6425,0.0428,0.5457,0.0538,0.4993,0.59,0.6342
svm_lin,40,0.01,4,15,0.658,0.0361,0.5515,0.0466,0.6029,0.7095,0.7595
svm_lin,40,0.01,5,6,0.6636,0.0265,0.5609,0.0276,0.7104,0.8268,0.8879
svm_lin,40,0.01,6,1,0.6748,0.0,0.5583,0.0,0.794,0.9068,0.9732
svm_lin,40,0.1,1,6,0.5353,0.0411,0.5206,0.0461,0.4334,0.4638,0.4855
svm_lin,40,0.1,2,15,0.5976,0.0631,0.5255,0.0361,0.5064,0.558,0.5776
svm_lin,40,0.1,3,20,0.6385,0.058,0.5493,0.0516,0.5084,0.615,0.6583
svm_lin,40,0.1,4,15,0.6777,0.0318,0.5744,0.0519,0.5689,0.7053,0.7802
svm_lin,40,0.1,5,6,0.7057,0.0104,0.5993,0.0379,0.6619,0.8226,0.9368
svm_lin,40,0.1,6,1,0.7088,0.0,0.6007,0.0,0.672,0.8579,0.9603
svm_lin,40,1.0,1,6,0.5465,0.0407,0.502,0.0136,0.4854,0.4911,0.4948
svm_lin,40,1.0,2,15,0.5795,0.061,0.539,0.0453,0.4917,0.5635,0.6011
svm_lin,40,1.0,3,20,0.6277,0.0724,0.5513,0.0543,0.4955,0.5985,0.6408
svm_lin,40,1.0,4,15,0.6888,0.0273,0.6035,0.0508,0.5285,0.6837,0.7942
svm_lin,40,1.0,5,6,0.7185,0.0118,0.6272,0.0473,0.5476,0.7237,0.8573
svm_lin,40,1.0,6,1,0.7438,0.0,0.6177,0.0,0.6121,0.8009,0.934
svm_lin,54,0.01,1,6,0.5298,0.0581,0.5095,0.0213,0.4689,0.4819,0.4952
svm_lin,54,0.01,2,15,0.5946,0.09,0.527,0.0417,0.4849,0.5448,0.5703
svm_lin,54,0.01,3,20,0.6397,0.0593,0.544,0.0573,0.5052,0.5907,0.6301
svm_lin,54,0.01,4,15,0.663,0.0422,0.5544,0.0411,0.616,0.7307,0.7809
svm_lin,54,0.01,5,6,0.6734,0.027,0.5649,0.0375,0.7473,0.8735,0.932
svm_lin,54,0.01,6,1,0.6791,0.0,0.5461,0.0,0.8286,0.9396,0.9817
svm_lin,54,0.1,1,6,0.5441,0.037,0.5127,0.0285,0.4423,0.4653,0.4749
svm_lin,54,0.1,2,15,0.5959,0.084,0.5306,0.0449,0.5106,0.5685,0.5969
svm_lin,54,0.1,3,20,0.629,0.073,0.541,0.0462,0.5418,0.6319,0.6686
svm_lin,54,0.1,4,15,0.6811,0.0367,0.5735,0.0547,0.5755,0.7023,0.7825
svm_lin,54,0.1,5,6,0.7104,0.0168,0.6062,0.0408,0.6673,0.8086,0.9304
svm_lin,54,0.1,6,1,0.7314,0.0,0.5752,0.0,0.7578,0.8818,0.9768
svm_lin,54,1.0,1,6,0.5196,0.0712,0.4905,0.0306,0.5105,0.4998,0.4847
svm_lin,54,1.0,2,15,0.584,0.0801,0.5245,0.0382,0.5287,0.5743,0.5986
svm_lin,54,1.0,3,20,0.6283,0.0839,0.5582,0.0533,0.5893,0.6864,0.7442
svm_lin,54,1.0,4,15,0.6828,0.0419,0.5854,0.0505,0.5949,0.7149,0.82
svm_lin,54,1.0,5,6,0.7103,0.024,0.6175,0.035,0.6133,0.7458,0.8961
svm_lin,54,1.0,6,1,0.7376,0.0,0.6068,0.0,0.6667,0.7975,0.9487
