model,k,C,gamma,n_est,n_blocks,n_combos,auc_mean,auc_std,acc_mean,acc_std,j_mean,j_std,j_threshold_mean,p_high_low_mean,p_high_moderate_mean,p_high_high_mean
logreg,30,0.003,na,0,6,1,0.6582,0.0,0.5934,0.0,0.284,0.0,0.68,0.5957,0.7326,0.7879
logreg,40,0.003,na,0,1,6,0.6056,0.0762,0.519,0.0271,0.2148,0.0893,0.4327,0.4026,0.4371,0.4512
logreg,40,0.003,na,0,2,15,0.6319,0.0606,0.537,0.0489,0.2539,0.0662,0.4618,0.441,0.5012,0.5368
logreg,40,0.003,na,0,3,20,0.6484,0.0307,0.5585,0.0536,0.2723,0.0347,0.5266,0.4686,0.5545,0.5983
logreg,40,0.003,na,0,4,15,0.6506,0.0183,0.5534,0.0436,0.2816,0.0239,0.6287,0.5458,0.648,0.6928
logreg,40,0.003,na,0,5,6,0.6534,0.0104,0.5643,0.0364,0.2921,0.0199,0.7075,0.6014,0.7199,0.7705
logreg,40,0.003,na,0,6,1,0.6521,0.0,0.5789,0.0,0.2985,0.0,0.7276,0.6321,0.7711,0.8226
logreg,54,0.003,na,0,1,6,0.5837,0.1104,0.5269,0.0395,0.2055,0.1038,0.417,0.3928,0.4293,0.4421
logreg,54,0.003,na,0,2,15,0.6302,0.0843,0.5363,0.0473,0.2615,0.0723,0.4844,0.4573,0.5264,0.5622
logreg,54,0.003,na,0,3,20,0.651,0.0354,0.553,0.0527,0.2802,0.044,0.5711,0.4997,0.595,0.6367
logreg,54,0.003,na,0,4,15,0.6519,0.025,0.5578,0.0406,0.2843,0.0343,0.6607,0.5661,0.6745,0.7175
logreg,54,0.003,na,0,5,6,0.6514,0.0132,0.5649,0.0259,0.2957,0.0174,0.748,0.6344,0.7615,0.8077
logreg,54,0.003,na,0,6,1,0.6492,0.0,0.5619,0.0,0.3131,0.0,0.8053,0.6752,0.8201,0.8669
rf,10,nan,na,200,1,6,0.5261,0.0273,0.5028,0.0143,0.0809,0.041,0.4367,0.4058,0.417,0.4192
rf,10,nan,na,200,2,15,0.5546,0.0551,0.5058,0.0189,0.112,0.0792,0.2767,0.2993,0.3055,0.3182
rf,10,nan,na,200,3,20,0.5645,0.0451,0.5093,0.0135,0.138,0.0653,0.253,0.2647,0.2629,0.2837
rf,10,nan,na,200,4,15,0.5545,0.0512,0.5123,0.0173,0.1206,0.0735,0.246,0.2389,0.2388,0.2584
rf,10,nan,na,200,5,6,0.5482,0.0263,0.5083,0.0102,0.0971,0.0328,0.23,0.2079,0.2092,0.2248
rf,10,nan,na,200,6,1,0.5349,0.0,0.5024,0.0,0.0947,0.0,0.24,0.1676,0.1657,0.1844
rf,20,nan,na,200,1,6,0.5544,0.0502,0.5069,0.0221,0.1388,0.0741,0.3367,0.3727,0.3899,0.3877
rf,20,nan,na,200,2,15,0.5532,0.0372,0.506,0.0196,0.1228,0.0412,0.2943,0.3008,0.3083,0.3176
rf,20,nan,na,200,3,20,0.5564,0.0355,0.5049,0.0151,0.1303,0.0457,0.2353,0.2491,0.2576,0.2689
rf,20,nan,na,200,4,15,0.553,0.0472,0.5053,0.0118,0.1248,0.0503,0.2373,0.2226,0.2306,0.2402
rf,20,nan,na,200,5,6,0.555,0.0352,0.5014,0.0023,0.1258,0.0394,0.2167,0.2264,0.237,0.2446
rf,20,nan,na,200,6,1,0.5759,0.0,0.4976,0.0,0.1578,0.0,0.275,0.2895,0.3035,0.31
rf,30,nan,na,200,1,6,0.5261,0.0447,0.5022,0.0077,0.0971,0.0577,0.3175,0.3329,0.3438,0.3419
rf,30,nan,na,200,2,15,0.5484,0.0472,0.5049,0.0152,0.1183,0.059,0.3093,0.3083,0.3202,0.325
rf,30,nan,na,200,3,20,0.5553,0.0307,0.5064,0.0145,0.1261,0.0441,0.231,0.2476,0.256,0.2642
rf,30,nan,na,200,4,15,0.5563,0.0426,0.5028,0.0061,0.1383,0.0423,0.2483,0.2398,0.2489,0.257
rf,30,nan,na,200,5,6,0.5525,0.0203,0.5006,0.0009,0.1177,0.0309,0.1958,0.2211,0.2338,0.2367
rf,30,nan,na,200,6,1,0.5395,0.0,0.5,0.0,0.1165,0.0,0.205,0.2425,0.2669,0.2621
rf,40,nan,na,200,1,6,0.5337,0.0479,0.5109,0.0171,0.0898,0.0396,0.3025,0.3453,0.362,0.3586
rf,40,nan,na,200,2,15,0.5404,0.0414,0.5065,0.0129,0.1086,0.0382,0.292,0.3003,0.3152,0.3169
rf,40,nan,na,200,3,20,0.5412,0.0359,0.5049,0.0087,0.104,0.0468,0.2443,0.2547,0.2659,0.2706
rf,40,nan,na,200,4,15,0.5543,0.0422,0.5024,0.0063,0.1236,0.0506,0.228,0.2257,0.2351,0.241
rf,40,nan,na,200,5,6,0.542,0.0277,0.5012,0.0019,0.1218,0.0272,0.2233,0.2274,0.2398,0.242
rf,40,nan,na,200,6,1,0.5443,0.0,0.5,0.0,0.1408,0.0,0.155,0.1747,0.1892,0.1851
rf,54,nan,na,200,1,6,0.543,0.0616,0.5061,0.0094,0.1088,0.0698,0.31,0.3428,0.3558,0.3542
rf,54,nan,na,200,2,15,0.513,0.0257,0.5028,0.008,0.0761,0.0362,0.2833,0.2738,0.2858,0.2828
rf,54,nan,na,200,3,20,0.5275,0.0257,0.5028,0.0112,0.0947,0.029,0.224,0.237,0.2477,0.2497
rf,54,nan,na,200,4,15,0.5231,0.0252,0.5007,0.0018,0.0832,0.0364,0.195,0.2072,0.2182,0.218
rf,54,nan,na,200,5,6,0.5386,0.0276,0.5,0.0,0.1226,0.0267,0.1892,0.1868,0.2016,0.2005
rf,54,nan,na,200,6,1,0.5134,0.0,0.5,0.0,0.0995,0.0,0.155,0.1887,0.2038,0.1963
svm_lin,10,0.01,na,0,1,6,0.5051,0.0508,0.5125,0.0303,0.0765,0.0932,inf,0.4637,0.4845,0.494
svm_lin,10,0.01,na,0,2,15,0.5471,0.0604,0.5147,0.0446,0.1419,0.1047,inf,0.4137,0.4504,0.462
svm_lin,10,0.01,na,0,3,20,0.5483,0.0749,0.5223,0.0405,0.1436,0.09,inf,0.4246,0.4529,0.4762
svm_lin,10,0.01,na,0,4,15,0.5625,0.0496,0.5256,0.0491,0.1485,0.0775,0.3565,0.3676,0.4042,0.4295
svm_lin,10,0.01,na,0,5,6,0.5693,0.0399,0.5142,0.0421,0.1489,0.0616,0.2741,0.2879,0.3186,0.3456
svm_lin,10,0.01,na,0,6,1,0.5644,0.0,0.4939,0.0,0.1432,0.0,0.161,0.2228,0.2236,0.2342
svm_lin,10,0.1,na,0,1,6,0.5103,0.0673,0.499,0.0023,0.0595,0.0948,inf,0.521,0.5256,0.5258
svm_lin,10,0.1,na,0,2,15,0.5439,0.0524,0.5154,0.0305,0.1307,0.0993,inf,0.4457,0.4891,0.5008
svm_lin,10,0.1,na,0,3,20,0.5422,0.0608,0.5201,0.0362,0.1316,0.0843,inf,0.4504,0.4896,0.5031
svm_lin,10,0.1,na,0,4,15,0.5459,0.0647,0.5203,0.0473,0.1299,0.0835,0.4044,0.4251,0.4696,0.4872
svm_lin,10,0.1,na,0,5,6,0.5571,0.052,0.52,0.0349,0.1315,0.0661,0.3572,0.3819,0.4214,0.444
svm_lin,10,0.1,na,0,6,1,0.536,0.0,0.5049,0.0,0.1141,0.0,0.3392,0.4443,0.4612,0.4564
svm_lin,10,1.0,na,0,1,6,0.5224,0.081,0.5164,0.0394,0.0732,0.1106,inf,0.4729,0.5089,0.5268
svm_lin,10,1.0,na,0,2,15,0.5458,0.0528,0.5188,0.0344,0.1286,0.093,inf,0.4564,0.5015,0.515
svm_lin,10,1.0,na,0,3,20,0.532,0.0671,0.5191,0.0325,0.1262,0.081,0.5217,0.5023,0.5501,0.5573
svm_lin,10,1.0,na,0,4,15,0.5435,0.0651,0.5265,0.0407,0.1249,0.0895,0.4532,0.461,0.5102,0.5204
svm_lin,10,1.0,na,0,5,6,0.5515,0.0502,0.5115,0.0285,0.127,0.0694,0.406,0.448,0.4878,0.503
svm_lin,10,1.0,na,0,6,1,0.5236,0.0,0.5316,0.0,0.0874,0.0,0.5139,0.6005,0.6115,0.6109
svm_lin,20,0.01,na,0,1,6,0.5444,0.0415,0.5204,0.0507,0.1234,0.088,inf,0.4432,0.4732,0.4914
svm_lin,20,0.01,na,0,2,15,0.5662,0.0834,0.5251,0.0501,0.1545,0.1015,inf,0.4701,0.5212,0.5417
svm_lin,20,0.01,na,0,3,20,0.61,0.0451,0.5347,0.0512,0.2187,0.0617,0.5075,0.4651,0.5346,0.5721
svm_lin,20,0.01,na,0,4,15,0.62,0.0324,0.5442,0.0449,0.2303,0.0494,0.5284,0.4897,0.5619,0.6075
svm_lin,20,0.01,na,0,5,6,0.6238,0.0348,0.5763,0.0429,0.2282,0.0467,0.6354,0.5875,0.6877,0.7618
svm_lin,20,0.01,na,0,6,1,0.5505,0.0,0.5255,0.0,0.1019,0.0,0.8148,0.8339,0.8535,0.8852
svm_lin,20,0.1,na,0,1,6,0.5088,0.0601,0.501,0.0116,0.0647,0.1057,inf,0.37,0.387,0.3846
svm_lin,20,0.1,na,0,2,15,0.5558,0.0771,0.5145,0.0321,0.1434,0.0975,inf,0.5048,0.5552,0.5606
svm_lin,20,0.1,na,0,3,20,0.606,0.0477,0.5437,0.0555,0.2112,0.068,0.5392,0.5016,0.5905,0.6269
svm_lin,20,0.1,na,0,4,15,0.6232,0.0196,0.5497,0.0436,0.2338,0.0373,0.6412,0.5872,0.6858,0.7287
svm_lin,20,0.1,na,0,5,6,0.6304,0.0374,0.5674,0.0373,0.2233,0.0615,0.7397,0.6523,0.7671,0.8293
svm_lin,20,0.1,na,0,6,1,0.5392,0.0,0.5279,0.0,0.0777,0.0,0.6987,0.8172,0.8475,0.8737
svm_lin,20,1.0,na,0,1,6,0.5483,0.0763,0.4988,0.0027,0.1032,0.1077,inf,0.3383,0.3367,0.3345
svm_lin,20,1.0,na,0,2,15,0.5637,0.0722,0.5178,0.0379,0.1492,0.1008,inf,0.4923,0.5383,0.5473
svm_lin,20,1.0,na,0,3,20,0.6011,0.0447,0.543,0.0518,0.2091,0.0703,0.5317,0.4962,0.5853,0.6187
svm_lin,20,1.0,na,0,4,15,0.6318,0.0149,0.5619,0.0486,0.2383,0.0372,0.6262,0.5766,0.687,0.7388
svm_lin,20,1.0,na,0,5,6,0.6271,0.0511,0.5738,0.0407,0.2318,0.0817,0.795,0.6828,0.8098,0.8725
svm_lin,20,1.0,na,0,6,1,0.5311,0.0,0.5279,0.0,0.0752,0.0,0.9634,0.8537,0.8845,0.9023
svm_lin,30,0.01,na,0,1,6,0.5421,0.0735,0.5182,0.0407,0.1218,0.1011,inf,0.4439,0.4711,0.4921
svm_lin,30,0.01,na,0,2,15,0.5945,0.0678,0.5354,0.0449,0.1932,0.0965,inf,0.4518,0.5264,0.5557
svm_lin,30,0.01,na,0,3,20,0.6294,0.0388,0.5488,0.0517,0.2453,0.0508,0.5899,0.5247,0.6175,0.6572
svm_lin,30,0.01,na,0,4,15,0.6479,0.0244,0.5546,0.0429,0.2707,0.0307,0.6791,0.5818,0.6807,0.7327
svm_lin,30,0.01,na,0,5,6,0.6625,0.017,0.572,0.025,0.2714,0.0259,0.8589,0.7196,0.8366,0.9092
svm_lin,30,0.01,na,0,6,1,0.6658,0.0,0.5607,0.0,0.2743,0.0,0.9576,0.7826,0.9008,0.9648
svm_lin,30,0.1,na,0,1,6,0.5523,0.0597,0.5194,0.0434,0.108,0.1125,inf,0.4043,0.4295,0.4481
svm_lin,30,0.1,na,0,2,15,0.5882,0.0695,0.5239,0.042,0.193,0.1028,inf,0.5094,0.5681,0.5849
svm_lin,30,0.1,na,0,3,20,0.6278,0.0513,0.5456,0.0505,0.2379,0.0696,0.5872,0.5344,0.6388,0.6768
svm_lin,30,0.1,na,0,4,15,0.6603,0.0306,0.5571,0.0518,0.2801,0.0456,0.6937,0.6034,0.7104,0.7654
svm_lin,30,0.1,na,0,5,6,0.6813,0.0195,0.5945,0.0308,0.301,0.0263,0.879,0.688,0.8339,0.9336
svm_lin,30,0.1,na,0,6,1,0.6894,0.0,0.5813,0.0,0.3374,0.0,0.9747,0.7256,0.8825,0.9706
svm_lin,30,1.0,na,0,1,6,0.5677,0.0593,0.503,0.0063,0.1388,0.0921,inf,0.2573,0.2856,0.2811
svm_lin,30,1.0,na,0,2,15,0.5793,0.0723,0.5339,0.0537,0.1746,0.1075,inf,0.5054,0.5711,0.5995
svm_lin,30,1.0,na,0,3,20,0.6254,0.0582,0.5498,0.0506,0.2339,0.0788,0.5258,0.4992,0.6133,0.6504
svm_lin,30,1.0,na,0,4,15,0.6723,0.0315,0.5686,0.0543,0.2927,0.0416,0.6893,0.5825,0.7081,0.7792
svm_lin,30,1.0,na,0,5,6,0.6892,0.0229,0.6058,0.025,0.322,0.0288,0.8219,0.5994,0.7723,0.8843
