model,k,C,gamma,n_est,n_blocks,n_combos,auc_mean,auc_std,acc_mean,acc_std,j_mean,j_std,j_threshold_mean,p_high_low_mean,p_high_moderate_mean,p_high_high_mean
svm_rbf,10,1.0,scale,0,3,20,0.4838,0.1248,0.5012,0.0245,0.1152,0.1127,inf,0.1675,0.1672,0.1696
svm_rbf,10,1.0,scale,0,4,15,0.5052,0.1267,0.501,0.0028,0.1186,0.1291,inf,0.1451,0.146,0.1456
svm_rbf,10,1.0,scale,0,5,6,0.4594,0.1268,0.5014,0.0032,0.0874,0.124,0.1598,0.1363,0.1378,0.1348
svm_rbf,10,1.0,scale,0,6,1,0.3839,0.0,0.5,0.0,0.0461,0.0,0.1343,0.1037,0.1049,0.1019
svm_rbf,10,10.0,auto,0,1,6,0.4957,0.0246,0.5004,0.0009,0.034,0.0667,inf,0.2597,0.2661,0.2594
svm_rbf,10,10.0,auto,0,2,15,0.4968,0.1142,0.5011,0.0031,0.0985,0.1214,inf,0.1784,0.1785,0.18
svm_rbf,10,10.0,auto,0,3,20,0.4997,0.1414,0.5016,0.0044,0.1329,0.1315,inf,0.1571,0.1536,0.1593
svm_rbf,10,10.0,auto,0,4,15,0.4772,0.1329,0.5002,0.0006,0.1042,0.1314,inf,0.1095,0.1113,0.1101
svm_rbf,10,10.0,auto,0,5,6,0.4167,0.091,0.5,0.0,0.0587,0.0721,0.136,0.094,0.0967,0.0922
svm_rbf,10,10.0,auto,0,6,1,0.3366,0.0,0.5,0.0,0.0267,0.0,0.0321,0.0197,0.0204,0.0181
svm_rbf,10,10.0,scale,0,1,6,0.4958,0.0247,0.5004,0.0009,0.0336,0.0658,inf,0.2597,0.2661,0.2594
svm_rbf,10,10.0,scale,0,2,15,0.4968,0.1142,0.5011,0.0031,0.0985,0.1214,inf,0.1784,0.1785,0.18
svm_rbf,10,10.0,scale,0,3,20,0.5,0.1416,0.5016,0.0044,0.1318,0.1299,inf,0.1571,0.1536,0.1593
svm_rbf,10,10.0,scale,0,4,15,0.4772,0.1329,0.5002,0.0006,0.1042,0.1314,inf,0.1095,0.1113,0.1101
svm_rbf,10,10.0,scale,0,5,6,0.4167,0.091,0.5,0.0,0.0587,0.0721,0.136,0.094,0.0967,0.0923
svm_rbf,10,10.0,scale,0,6,1,0.3366,0.0,0.5,0.0,0.0267,0.0,0.0321,0.0197,0.0204,0.0181
svm_rbf,20,0.1,auto,0,1,6,0.5269,0.1046,0.5,0.0,0.0748,0.1567,inf,0.3528,0.3543,0.3533
svm_rbf,20,0.1,auto,0,2,15,0.5064,0.1062,0.5,0.0,0.1275,0.1083,inf,0.2026,0.2031,0.2032
svm_rbf,20,0.1,auto,0,3,20,0.5004,0.1483,0.5,0.0,0.1661,0.1285,0.1681,0.1666,0.1666,0.1675
svm_rbf,20,0.1,auto,0,4,15,0.4802,0.1495,0.5,0.0,0.1497,0.1371,0.144,0.1418,0.1416,0.1422
svm_rbf,20,0.1,auto,0,5,6,0.4435,0.0963,0.5,0.0,0.1121,0.0757,0.1271,0.1256,0.1253,0.126
svm_rbf,20,0.1,auto,0,6,1,0.3763,0.0,0.5,0.0,0.0558,0.0,0.1231,0.1229,0.1229,0.1228
svm_rbf,20,0.1,scale,0,1,6,0.5269,0.1046,0.5,0.0,0.0748,0.1567,inf,0.3528,0.3543,0.3533
svm_rbf,20,0.1,scale,0,2,15,0.5058,0.104,0.5,0.0,0.1228,0.1049,inf,0.2026,0.2031,0.2032
svm_rbf,20,0.1,scale,0,3,20,0.4985,0.1483,0.5,0.0,0.1623,0.1287,0.1681,0.1666,0.1666,0.1675
svm_rbf,20,0.1,scale,0,4,15,0.4794,0.1483,0.5,0.0,0.1482,0.1343,0.144,0.1418,0.1416,0.1422
svm_rbf,20,0.1,scale,0,5,6,0.4435,0.0963,0.5,0.0,0.1121,0.0757,0.1271,0.1256,0.1253,0.126
svm_rbf,20,0.1,scale,0,6,1,0.3763,0.0,0.5,0.0,0.0558,0.0,0.1231,0.1229,0.1229,0.1228
svm_rbf,20,1.0,auto,0,1,6,0.5023,0.06,0.5,0.0,0.0461,0.0988,inf,0.4102,0.412,0.4107
svm_rbf,20,1.0,auto,0,2,15,0.4643,0.114,0.5003,0.0012,0.0917,0.0997,inf,0.1944,0.1957,0.1963
svm_rbf,20,1.0,auto,0,3,20,0.4478,0.1529,0.5,0.0,0.1269,0.1329,0.1093,0.1119,0.1119,0.1123
svm_rbf,20,1.0,auto,0,4,15,0.4016,0.121,0.5,0.0,0.0846,0.1075,0.1008,0.0946,0.0947,0.0942
svm_rbf,20,1.0,auto,0,5,6,0.3548,0.0585,0.5,0.0,0.0473,0.0476,0.0911,0.0868,0.0856,0.0855
svm_rbf,20,1.0,auto,0,6,1,0.3321,0.0,0.5,0.0,0.017,0.0,0.0827,0.0821,0.0822,0.0819
svm_rbf,20,1.0,scale,0,1,6,0.5023,0.06,0.5,0.0,0.0461,0.0988,inf,0.4102,0.412,0.4107
svm_rbf,20,1.0,scale,0,2,15,0.4666,0.1141,0.5003,0.0012,0.0964,0.0966,inf,0.1944,0.1957,0.1963
svm_rbf,20,1.0,scale,0,3,20,0.4471,0.1509,0.5,0.0,0.125,0.1302,0.1093,0.1119,0.1119,0.1123
svm_rbf,20,1.0,scale,0,4,15,0.4019,0.1217,0.5,0.0,0.0848,0.1081,0.1008,0.0946,0.0947,0.0942
svm_rbf,20,1.0,scale,0,5,6,0.3548,0.0585,0.5,0.0,0.0473,0.0476,0.0911,0.0868,0.0856,0.0855
svm_rbf,20,1.0,scale,0,6,1,0.3321,0.0,0.5,0.0,0.017,0.0,0.0827,0.0821,0.0822,0.0819
svm_rbf,20,10.0,auto,0,1,6,0.4439,0.0939,0.5002,0.0005,0.0032,0.0062,inf,0.3986,0.4012,0.3994
svm_rbf,20,10.0,auto,0,2,15,0.4991,0.1431,0.5015,0.0049,0.1191,0.1355,inf,0.201,0.2011,0.2034
svm_rbf,20,10.0,auto,0,3,20,0.4613,0.1661,0.5001,0.0005,0.1328,0.1471,inf,0.1043,0.1029,0.1053
svm_rbf,20,10.0,auto,0,4,15,0.3607,0.1151,0.5,0.0,0.0547,0.1024,inf,0.073,0.0734,0.0712
svm_rbf,20,10.0,auto,0,5,6,0.3304,0.0458,0.5,0.0,0.0324,0.0396,inf,0.0661,0.0651,0.0641
svm_rbf,20,10.0,auto,0,6,1,0.3359,0.0,0.5,0.0,0.0146,0.0,0.09,0.0886,0.0889,0.0882
svm_rbf,20,10.0,scale,0,1,6,0.4439,0.094,0.5002,0.0005,0.0032,0.0062,inf,0.3986,0.4012,0.3994
svm_rbf,20,10.0,scale,0,2,15,0.5046,0.1426,0.5015,0.0049,0.1249,0.1319,inf,0.201,0.2011,0.2034
svm_rbf,20,10.0,scale,0,3,20,0.4604,0.1652,0.5001,0.0005,0.1316,0.1469,inf,0.1043,0.1029,0.1054
svm_rbf,20,10.0,scale,0,4,15,0.3597,0.1117,0.5,0.0,0.0549,0.1029,inf,0.073,0.0734,0.0712
svm_rbf,20,10.0,scale,0,5,6,0.3304,0.0458,0.5,0.0,0.0324,0.0396,inf,0.0661,0.0651,0.0641
svm_rbf,20,10.0,scale,0,6,1,0.3359,0.0,0.5,0.0,0.0146,0.0,0.0899,0.0886,0.0889,0.0882
svm_rbf,30,0.1,auto,0,1,6,0.5123,0.1344,0.5,0.0,0.0979,0.1385,inf,0.3547,0.3547,0.3547
svm_rbf,30,0.1,auto,0,2,15,0.5171,0.1449,0.5,0.0,0.1691,0.1373,inf,0.1971,0.197,0.197
svm_rbf,30,0.1,auto,0,3,20,0.4378,0.1404,0.5,0.0,0.1208,0.1243,inf,0.1534,0.1534,0.1534
svm_rbf,30,0.1,auto,0,4,15,0.4045,0.1056,0.5,0.0,0.0882,0.0879,0.122,0.1217,0.1217,0.1216
svm_rbf,30,0.1,auto,0,5,6,0.3523,0.0404,0.5,0.0,0.0538,0.0411,0.0961,0.096,0.096,0.0959
svm_rbf,30,0.1,auto,0,6,1,0.2912,0.0,0.5,0.0,0.0024,0.0,0.0894,0.0895,0.0895,0.0895
svm_rbf,30,0.1,scale,0,1,6,0.5354,0.1219,0.5,0.0,0.123,0.1453,inf,0.3547,0.3547,0.3547
svm_rbf,30,0.1,scale,0,2,15,0.5208,0.1481,0.5,0.0,0.1731,0.1426,inf,0.1971,0.197,0.197
svm_rbf,30,0.1,scale,0,3,20,0.4354,0.1358,0.5,0.0,0.1191,0.1205,inf,0.1535,0.1534,0.1534
svm_rbf,30,0.1,scale,0,4,15,0.4045,0.1056,0.5,0.0,0.0882,0.0879,0.122,0.1217,0.1217,0.1216
svm_rbf,30,0.1,scale,0,5,6,0.3523,0.0404,0.5,0.0,0.0538,0.0411,0.0961,0.096,0.096,0.0959
svm_rbf,30,0.1,scale,0,6,1,0.2912,0.0,0.5,0.0,0.0024,0.0,0.0894,0.0895,0.0895,0.0895
svm_rbf,30,1.0,auto,0,1,6,0.5753,0.1174,0.5,0.0,0.18,0.1609,inf,0.3896,0.3896,0.3896
svm_rbf,30,1.0,auto,0,2,15,0.4754,0.1459,0.5,0.0,0.1387,0.1289,inf,0.2013,0.2013,0.2012
svm_rbf,30,1.0,auto,0,3,20,0.3834,0.1285,0.5,0.0,0.0789,0.1088,0.118,0.1176,0.1177,0.1172
svm_rbf,30,1.0,auto,0,4,15,0.3246,0.0331,0.5,0.0,0.0341,0.0348,0.0852,0.0836,0.0838,0.0831
svm_rbf,30,1.0,auto,0,5,6,0.2961,0.011,0.5,0.0,0.0138,0.0085,0.0684,0.0684,0.0684,0.0681
svm_rbf,30,1.0,auto,0,6,1,0.2828,0.0,0.5,0.0,0.0024,0.0,0.0562,0.0566,0.0566,0.0565
svm_rbf,30,1.0,scale,0,1,6,0.5313,0.1037,0.5,0.0,0.1177,0.1352,inf,0.3896,0.3896,0.3896
svm_rbf,30,1.0,scale,0,2,15,0.4764,0.1451,0.5,0.0,0.1317,0.1197,inf,0.2013,0.2013,0.2012
svm_rbf,30,1.0,scale,0,3,20,0.3818,0.1247,0.5,0.0,0.0777,0.1059,0.118,0.1176,0.1177,0.1172
svm_rbf,30,1.0,scale,0,4,15,0.3246,0.033,0.5,0.0,0.0341,0.0348,0.0852,0.0836,0.0838,0.0831
svm_rbf,30,1.0,scale,0,5,6,0.2961,0.011,0.5,0.0,0.0138,0.0085,0.0684,0.0684,0.0684,0.0681
svm_rbf,30,1.0,scale,0,6,1,0.2828,0.0,0.5,0.0,0.0024,0.0,0.0562,0.0566,0.0566,0.0565
svm_rbf,30,10.0,auto,0,1,6,0.5039,0.1328,0.5,0.0,0.104,0.1287,inf,0.3407,0.3407,0.3406
svm_rbf,30,10.0,auto,0,2,15,0.445,0.1435,0.5,0.0,0.1144,0.1343,inf,0.1852,0.1855,0.1846
svm_rbf,30,10.0,auto,0,3,20,0.425,0.1657,0.5,0.0,0.116,0.1353,0.0827,0.085,0.0851,0.0845
svm_rbf,30,10.0,auto,0,4,15,0.3364,0.1169,0.5,0.0,0.0426,0.1072,inf,0.0636,0.0639,0.0629
svm_rbf,30,10.0,auto,0,5,6,0.3336,0.081,0.5,0.0,0.0283,0.027,0.0746,0.0738,0.0739,0.0732
svm_rbf,30,10.0,auto,0,6,1,0.2919,0.0,0.5,0.0,0.0024,0.0,0.0599,0.0611,0.0611,0.061
svm_rbf,30,10.0,scale,0,1,6,0.5201,0.1474,0.5,0.0,0.1404,0.1721,inf,0.3406,0.3406,0.3405
svm_rbf,30,10.0,scale,0,2,15,0.4497,0.1474,0.5,0.0,0.1162,0.1366,inf,0.1852,0.1855,0.1846
svm_rbf,30,10.0,scale,0,3,20,0.4265,0.1673,0.5,0.0,0.1161,0.1348,0.0827,0.085,0.0852,0.0845
svm_rbf,30,10.0,scale,0,4,15,0.3364,0.1169,0.5,0.0,0.0426,0.1072,inf,0.0636,0.0639,0.0629
svm_rbf,30,10.0,scale,0,5,6,0.3336,0.081,0.5,0.0,0.0283,0.027,0.0746,0.0738,0.0739,0.0732
svm_rbf,30,10.0,scale,0,6,1,0.2919,0.0,0.5,0.0,0.0024,0.0,0.0599,0.0611,0.0611,0.061
svm_rbf,40,0.1,auto,0,1,6,0.5351,0.1472,0.5,0.0,0.1177,0.1656,inf,0.3276,0.3276,0.3276
svm_rbf,40,0.1,auto,0,2,15,0.4809,0.1451,0.5,0.0,0.1322,0.1284,inf,0.2131,0.2131,0.2131
svm_rbf,40,0.1,auto,0,3,20,0.4033,0.1162,0.5,0.0,0.0928,0.1035,0.1517,0.1514,0.1514,0.1512
svm_rbf,40,0.1,auto,0,4,15,0.3588,0.0653,0.5,0.0,0.0506,0.0599,inf,0.1134,0.1134,0.1132
svm_rbf,40,0.1,auto,0,5,6,0.3316,0.0296,0.5,0.0,0.0328,0.0333,0.0942,0.0944,0.0944,0.0943
svm_rbf,40,0.1,auto,0,6,1,0.3059,0.0,0.5,0.0,0.0024,0.0,0.0894,0.0902,0.0902,0.0901
svm_rbf,40,0.1,scale,0,1,6,0.5379,0.1505,0.5,0.0,0.1201,0.1704,inf,0.3276,0.3276,0.3276
svm_rbf,40,0.1,scale,0,2,15,0.484,0.1455,0.5,0.0,0.1345,0.1276,inf,0.2131,0.2131,0.2131
svm_rbf,40,0.1,scale,0,3,20,0.4033,0.1161,0.5,0.0,0.0928,0.1035,0.1517,0.1514,0.1514,0.1512
svm_rbf,40,0.1,scale,0,4,15,0.3588,0.0653,0.5,0.0,0.0506,0.0599,inf,0.1134,0.1134,0.1132
svm_rbf,40,0.1,scale,0,5,6,0.3316,0.0296,0.5,0.0,0.0328,0.0333,0.0942,0.0944,0.0944,0.0943
svm_rbf,40,0.1,scale,0,6,1,0.3059,0.0,0.5,0.0,0.0024,0.0,0.0894,0.0902,0.0902,0.0901
svm_rbf,40,1.0,auto,0,1,6,0.5763,0.1048,0.5,0.0,0.159,0.1715,inf,0.3315,0.3315,0.3315
svm_rbf,40,1.0,auto,0,2,15,0.4467,0.1599,0.5,0.0,0.1073,0.1377,inf,0.1972,0.1973,0.1969
svm_rbf,40,1.0,auto,0,3,20,0.3761,0.136,0.5,0.0,0.0791,0.1233,0.1099,0.1095,0.1095,0.1088
svm_rbf,40,1.0,auto,0,4,15,0.3054,0.0233,0.5,0.0,0.0141,0.0175,inf,0.0773,0.0773,0.0768
svm_rbf,40,1.0,auto,0,5,6,0.2878,0.0081,0.5,0.0,0.0073,0.0051,0.0457,0.0471,0.0471,0.0467
svm_rbf,40,1.0,auto,0,6,1,0.2881,0.0,0.5,0.0,0.0024,0.0,0.0454,0.0469,0.047,0.0467
svm_rbf,40,1.0,scale,0,1,6,0.5724,0.0989,0.5,0.0,0.1501,0.1576,inf,0.3315,0.3315,0.3315
svm_rbf,40,1.0,scale,0,2,15,0.4422,0.1569,0.5,0.0,0.1053,0.1354,inf,0.1972,0.1973,0.1969
svm_rbf,40,1.0,scale,0,3,20,0.3761,0.136,0.5,0.0,0.0791,0.1233,0.1099,0.1095,0.1095,0.1088
svm_rbf,40,1.0,scale,0,4,15,0.3054,0.0233,0.5,0.0,0.0141,0.0175,inf,0.0773,0.0773,0.0768
svm_rbf,40,1.0,scale,0,5,6,0.2878,0.0081,0.5,0.0,0.0073,0.0051,0.0457,0.0471,0.0471,0.0467
svm_rbf,40,1.0,scale,0,6,1,0.2881,0.0,0.5,0.0,0.0024,0.0,0.0454,0.0469,0.047,0.0466
svm_rbf,40,10.0,auto,0,1,6,0.5455,0.1405,0.5,0.0,0.1355,0.1908,inf,0.315,0.3151,0.3149
svm_rbf,40,10.0,auto,0,2,15,0.4955,0.1511,0.5,0.0,0.1476,0.1454,inf,0.1625,0.1625,0.1617
svm_rbf,40,10.0,auto,0,3,20,0.3991,0.1436,0.5,0.0,0.0967,0.1305,inf,0.0704,0.0704,0.0692
svm_rbf,40,10.0,auto,0,4,15,0.3345,0.1116,0.5,0.0,0.035,0.0981,0.0556,0.0583,0.0584,0.0576
svm_rbf,40,10.0,auto,0,5,6,0.2758,0.0141,0.5,0.0,0.0032,0.0011,0.0337,0.0399,0.0401,0.0388
svm_rbf,40,10.0,auto,0,6,1,0.288,0.0,0.5,0.0,0.0049,0.0,0.0419,0.0454,0.0456,0.0449
svm_rbf,40,10.0,scale,0,1,6,0.5269,0.1214,0.5,0.0,0.1193,0.1688,inf,0.315,0.3151,0.3149
svm_rbf,40,10.0,scale,0,2,15,0.4908,0.1465,0.5,0.0,0.1417,0.1413,inf,0.1625,0.1625,0.1617
svm_rbf,40,10.0,scale,0,3,20,0.3989,0.1436,0.5,0.0,0.0965,0.1305,inf,0.0704,0.0704,0.0692
svm_rbf,40,10.0,scale,0,4,15,0.3345,0.1116,0.5,0.0,0.035,0.0981,0.0556,0.0583,0.0584,0.0576
svm_rbf,40,10.0,scale,0,5,6,0.2758,0.0141,0.5,0.0,0.0032,0.0011,0.0337,0.0399,0.0401,0.0388
svm_rbf,40,10.0,scale,0,6,1,0.288,0.0,0.5,0.0,0.0049,0.0,0.0418,0.0454,0.0456,0.0449
svm_rbf,54,0.1,auto,0,1,6,0.5546,0.1513,0.5,0.0,0.1493,0.1628,inf,0.3497,0.3497,0.3497
svm_rbf,54,0.1,auto,0,2,15,0.4762,0.1698,0.5,0.0,0.1557,0.147,0.2381,0.2374,0.2374,0.2374
svm_rbf,54,0.1,auto,0,3,20,0.4003,0.1294,0.5,0.0,0.0926,0.1076,inf,0.1595,0.1595,0.1593
svm_rbf,54,0.1,auto,0,4,15,0.3602,0.1055,0.5,0.0,0.0542,0.0851,inf,0.1102,0.1103,0.11
svm_rbf,54,0.1,auto,0,5,6,0.3232,0.0411,0.5,0.0,0.0247,0.0424,0.0735,0.0732,0.0732,0.0729
svm_rbf,54,0.1,auto,0,6,1,0.3054,0.0,0.5,0.0,0.0024,0.0,0.0645,0.0669,0.067,0.0665
svm_rbf,54,0.1,scale,0,1,6,0.5493,0.1511,0.5,0.0,0.1424,0.1642,inf,0.3497,0.3497,0.3497
svm_rbf,54,0.1,scale,0,2,15,0.4747,0.1696,0.5,0.0,0.1539,0.148,0.2381,0.2375,0.2374,0.2374
svm_rbf,54,0.1,scale,0,3,20,0.4003,0.1294,0.5,0.0,0.0925,0.1075,inf,0.1595,0.1595,0.1593
svm_rbf,54,0.1,scale,0,4,15,0.3602,0.1055,0.5,0.0,0.0542,0.0851,inf,0.1102,0.1103,0.11
svm_rbf,54,0.1,scale,0,5,6,0.3232,0.0411,0.5,0.0,0.0247,0.0424,0.0735,0.0732,0.0732,0.0729
svm_rbf,54,0.1,scale,0,6,1,0.3054,0.0,0.5,0.0,0.0024,0.0,0.0645,0.0669,0.067,0.0665
svm_rbf,54,1.0,auto,0,1,6,0.6396,0.1065,0.5,0.0,0.2318,0.1724,inf,0.3294,0.3294,0.3294
svm_rbf,54,1.0,auto,0,2,15,0.4728,0.1961,0.5,0.0,0.155,0.169,0.1809,0.1805,0.1805,0.1803
svm_rbf,54,1.0,auto,0,3,20,0.3604,0.1357,0.5,0.0,0.0655,0.1169,0.1141,0.1151,0.115,0.1146
svm_rbf,54,1.0,auto,0,4,15,0.3049,0.0252,0.5,0.0,0.0138,0.0144,0.0696,0.072,0.072,0.0713
svm_rbf,54,1.0,auto,0,5,6,0.286,0.0137,0.5,0.0,0.0065,0.0059,0.0349,0.0381,0.0382,0.0374
svm_rbf,54,1.0,auto,0,6,1,0.2774,0.0,0.5,0.0,0.0049,0.0,0.0218,0.0256,0.0258,0.0248
svm_rbf,54,1.0,scale,0,1,6,0.621,0.1167,0.5,0.0,0.2071,0.1802,inf,0.3294,0.3294,0.3294
svm_rbf,54,1.0,scale,0,2,15,0.4707,0.1965,0.5,0.0,0.1536,0.1698,0.1809,0.1805,0.1805,0.1803
svm_rbf,54,1.0,scale,0,3,20,0.3604,0.1357,0.5,0.0,0.0655,0.1169,0.1141,0.1151,0.115,0.1146
svm_rbf,54,1.0,scale,0,4,15,0.3049,0.0252,0.5,0.0,0.0138,0.0144,0.0696,0.072,0.072,0.0713
svm_rbf,54,1.0,scale,0,5,6,0.286,0.0137,0.5,0.0,0.0065,0.0059,0.0349,0.0381,0.0382,0.0374
svm_rbf,54,1.0,scale,0,6,1,0.2774,0.0,0.5,0.0,0.0049,0.0,0.0218,0.0256,0.0258,0.0248
svm_rbf,54,10.0,auto,0,1,6,0.5596,0.1473,0.5,0.0,0.1561,0.1736,inf,0.295,0.2951,0.2949
svm_rbf,54,10.0,auto,0,2,15,0.4893,0.1799,0.5,0.0,0.1701,0.1547,0.1411,0.1398,0.1396,0.1392
svm_rbf,54,10.0,auto,0,3,20,0.3906,0.1462,0.5,0.0,0.0831,0.1288,0.066,0.0652,0.065,0.0643
svm_rbf,54,10.0,auto,0,4,15,0.3415,0.1192,0.5,0.0,0.0442,0.0934,0.0336,0.0319,0.0319,0.0306
svm_rbf,54,10.0,auto,0,5,6,0.2833,0.0072,0.5,0.0,0.0049,0.0014,0.0125,0.0133,0.0133,0.0123
svm_rbf,54,10.0,auto,0,6,1,0.2697,0.0,0.5,0.0,0.0049,0.0,0.007,0.0119,0.012,0.0107
svm_rbf,54,10.0,scale,0,1,6,0.5714,0.151,0.5,0.0,0.176,0.1799,inf,0.295,0.2951,0.2949
svm_rbf,54,10.0,scale,0,2,15,0.4892,0.1799,0.5,0.0,0.1706,0.1549,0.1411,0.1398,0.1396,0.1391
svm_rbf,54,10.0,scale,0,3,20,0.3906,0.1463,0.5,0.0,0.0831,0.1288,0.066,0.0652,0.065,0.0643
svm_rbf,54,10.0,scale,0,4,15,0.3415,0.1192,0.5,0.0,0.0442,0.0934,0.0336,0.0319,0.0319,0.0306
svm_rbf,54,10.0,scale,0,5,6,0.2833,0.0071,0.5,0.0,0.0049,0.0014,0.0125,0.0133,0.0133,0.0123
svm_rbf,54,10.0,scale,0,6,1,0.2697,0.0,0.5,0.0,0.0049,0.0,0.007,0.0119,0.012,0.0107
